Number,X,Y,eval,real
1,0.986,0.973,0.0,0.0002606416000000047
2,1.005,1.008,0.0,0.0004350624999998861
3,1.012,1.024,0.0,0.000146073599999998
4,0.994,0.989,0.0,0.00012892959999999328
5,1.018,1.037,0.0,0.00036969759999998686
6,0.979,0.957,0.001,0.0006486481000000082
7,0.971,0.942,0.001,0.0009117280999999982
8,1.031,1.06,0.001,0.0018377520999998582
9,0.961,0.923,0.002,0.0015481440999999903
10,1.037,1.073,0.002,0.00193021609999992
11,0.953,0.908,0.002,0.0022133681
12,0.947,0.896,0.003,0.0028744480999999787
13,1.06,1.123,0.004,0.003636000000000025
14,0.93,0.865,0.005,0.00490099999999999
15,0.922,0.849,0.006,0.006201505600000012
