Number,X,Y,eval,real
1,0.641,-0.156,-9167.24,7.1420159879117575
2,1.562,1.53,-20001.044,68.61477369519852
3,0.64,0.0,-10925.458,7.271924999999999
4,3.8,-1.1,-7922.923,90.12849984000002
5,0.498,-0.503,-7179.604,8.350178476688551
6,-1.7,-2.1,-29427.901,461.16682869
7,-2.8,-0.28,-2378.201,79.28189781038336
8,0.861,-0.24,-6880.568,5.326332491218231
9,-3.2,2.96,-126493.942,6487.367938525975
10,1.44,-2.4,-627064.329,444.91972419359985
11,1.4,1.919,-14805.442,167.45475843524554
12,0.64,-0.52,-9572.439,7.048294774454373
13,3.843,-0.446,-8337.105,19.575878387177074
14,-1.96,-0.3,-29200.171,54.1665348864
15,-0.18,3.8,-2637.329,51.03326288159999
