Number,X,Y,eval,real
1,0.501,-3.281,-61791.663,293.8908767504924
2,-1.52,-2.8,-7848.003,1526.4636712015988
3,0.861,-0.24,-9124.123,5.326332491218231
4,-2.72,-1.6,-3455.071,349.2441828944002
5,1.6,2.119,-24305.401,336.2141869989757
6,1.563,2.14,-21364.866,340.6153888702638
7,3.618,-0.921,-9502.261,47.18612714854578
8,1.6,1.819,-13080.235,156.75484030909251
9,-3.2,0.12,-5296.272,81.69644310287617
10,-1.32,-2.6,-4017.705,804.6126521424002
11,-2.08,2.4,-693094.597,638.8790378063998
12,0.24,-0.12,-6531.724,11.256105461528676
13,-2.0,0.52,-57945.271,38.678224078656
14,1.298,0.297,-7136.238,3.3349103653986445
15,1.7,-1.7,-10552.768,94.55428340999997
