Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-3.0,-3.0,26.0,26.0,0.0,0.0
2,1.0,-3.0,178.0,178.0,0.0,0.0
3,-3.0,1.0,82.0,82.0,0.0,0.0
4,1.0,1.0,106.0,106.0,0.0,0.0
5,-3.0,-1.66667,65.6,65.6048022221963,0.004802222196303774,0.007319924812880576
6,-3.0,-0.333333,103.23,103.2345707407387,0.004570740738699897,0.004427529175453023
7,1.0,-1.66667,146.49,146.49383333339628,0.0038333333962725646,0.00261671997315308
8,1.0,-0.333333,141.46,141.4567858518507,0.0032141481493113133,0.0022721767145745327
9,-1.66667,-3.0,126.05,126.0491311109963,0.0008688890036978592,0.0006893256590025465
10,-0.333333,-3.0,195.68,195.6790196296267,0.0009803703732984559,0.0005010094465692138
11,-0.333333,1.0,137.9,137.9012347407387,0.0012347407386812392,0.0008953804808221003
12,-1.0,-1.0,170.0,170.0,0.0,0.0
13,-1.0,-1.0,170.0,170.0,0.0,0.0
14,-1.0,-1.0,170.0,170.0,0.0,0.0
15,-1.0,-1.0,170.0,170.0,0.0,0.0
